,hashtags,symbols,user_mentions,urls,media
22,[],[],"[{'screen_name': 'AlvaroMedran', 'name': 'Alvaro Medran Just', 'id': 228520427, 'id_str': '228520427', 'indices': [3, 16]}, {'screen_name': 'calvo05oficial', 'name': 'Francisco Calvo', 'id': 737810925357551616, 'id_str': '737810925357551616', 'indices': [23, 38]}, {'screen_name': 'fherbers9393', 'name': 'Fabian Herbers', 'id': 4805446871, 'id_str': '4805446871', 'indices': [39, 52]}, {'screen_name': 'Tongagimenez', 'name': 'Gaston gimenez', 'id': 2225939425, 'id_str': '2225939425', 'indices': [53, 66]}]",[],
23,[],[],[],[],
24,[],[],[],[],
25,[],[],[],[],
26,[],[],"[{'screen_name': 'TracyBaimWCMG', 'name': 'Tracy Baim', 'id': 30268306, 'id_str': '30268306', 'indices': [3, 17]}, {'screen_name': 'ChicagoFire', 'name': 'Chicago Fire FC', 'id': 21677316, 'id_str': '21677316', 'indices': [52, 64]}, {'screen_name': 'Chicago_Reader', 'name': 'Chicago Reader', 'id': 16104602, 'id_str': '16104602', 'indices': [81, 96]}]",[],
27,"[{'text': 'VamosFire', 'indices': [68, 78]}]",[],"[{'screen_name': 'VamosFire', 'name': 'Chicago Fire FC', 'id': 1195080879615463425, 'id_str': '1195080879615463425', 'indices': [3, 13]}]",[],"[{'id': 1357447193590906885, 'id_str': '1357447193590906885', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1357447193590906885/pu/img/8B0dRk3OaH6HXxCI.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1357447193590906885/pu/img/8B0dRk3OaH6HXxCI.jpg', 'url': 'https://t.co/zYmPnpbqbb', 'display_url': 'pic.twitter.com/zYmPnpbqbb', 'expanded_url': 'https://twitter.com/VamosFire/status/1357447897902706692/video/1', 'type': 'photo', 'sizes': {'small': {'w': 480, 'h': 480, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 480, 'h': 480, 'resize': 'fit'}, 'large': {'w': 480, 'h': 480, 'resize': 'fit'}}, 'source_status_id': 1357447897902706692, 'source_status_id_str': '1357447897902706692', 'source_user_id': 1195080879615463425, 'source_user_id_str': '1195080879615463425'}]"
28,"[{'text': 'CFFC', 'indices': [91, 96]}]",[],"[{'screen_name': 'KidM3mito', 'name': 'Memo', 'id': 834100159323766784, 'id_str': '834100159323766784', 'indices': [3, 13]}]",[],"[{'id': 1357176673968480258, 'id_str': '1357176673968480258', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/EtWo_o1WYAIKMVS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EtWo_o1WYAIKMVS.jpg', 'url': 'https://t.co/ss59EO9NGB', 'display_url': 'pic.twitter.com/ss59EO9NGB', 'expanded_url': 'https://twitter.com/KidM3mito/status/1357177330360332288/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_status_id': 1357177330360332288, 'source_status_id_str': '1357177330360332288', 'source_user_id': 834100159323766784, 'source_user_id_str': '834100159323766784'}]"
29,[],[],"[{'screen_name': 'firejrs', 'name': 'Fire Juniors', 'id': 816165451, 'id_str': '816165451', 'indices': [3, 11]}]",[],
30,[],[],[],"[{'url': 'https://t.co/KocNVADZie', 'expanded_url': 'https://www.chicagofirefc.com/council', 'display_url': 'chicagofirefc.com/council', 'indices': [139, 162]}]",
31,[],[],"[{'screen_name': 'kevincoval', 'name': 'Kevin Coval', 'id': 354397291, 'id_str': '354397291', 'indices': [106, 117]}]","[{'url': 'https://t.co/mPY6TKeXSy', 'expanded_url': 'http://cf97.co/7xig30rvpYs', 'display_url': 'cf97.co/7xig30rvpYs', 'indices': [157, 180]}]","[{'id': 1356988530770276352, 'id_str': '1356988530770276352', 'indices': [181, 204], 'media_url': 'http://pbs.twimg.com/media/EtT94QzXcAAxFSr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EtT94QzXcAAxFSr.jpg', 'url': 'https://t.co/NqslMrxttn', 'display_url': 'pic.twitter.com/NqslMrxttn', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1356988598080446464/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]"
