,id,tweets,likes,created_at,num_retweets,hashtags,symbols,user_mentions,urls,media
343,1322699586247499778,Underway in the Music City. #NSHvCHI https://t.co/OKyj2x23JJ,28,2020-11-01 00:38:50,3,"[{'text': 'NSHvCHI', 'indices': [28, 36]}]",[],[],[],"[{'id': 1322699447097266176, 'id_str': '1322699447097266176', 'indices': [37, 60], 'media_url': 'http://pbs.twimg.com/media/ElssI6DWkAAzbzN.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElssI6DWkAAzbzN.jpg', 'url': 'https://t.co/OKyj2x23JJ', 'display_url': 'pic.twitter.com/OKyj2x23JJ', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322699586247499778/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]"
344,1322698298935988227,Carve 'em up 🎃 #NSHvCHI coming up live on WGN &amp; ESPN+. https://t.co/FdV2591kdM,17,2020-11-01 00:33:43,0,"[{'text': 'NSHvCHI', 'indices': [15, 23]}]",[],[],[],"[{'id': 1322696275695931404, 'id_str': '1322696275695931404', 'indices': [59, 82], 'media_url': 'http://pbs.twimg.com/media/Elsqw8bX0AAfjKx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Elsqw8bX0AAfjKx.jpg', 'url': 'https://t.co/FdV2591kdM', 'display_url': 'pic.twitter.com/FdV2591kdM', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322698298935988227/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]"
345,1322697501166784517,Halloween night under the lights.,48,2020-11-01 00:30:33,6,[],[],[],[],
346,1322693755137380357,Here to haunt their house. https://t.co/yhqHpB1tKO,29,2020-11-01 00:15:40,3,[],[],[],[],"[{'id': 1322692521819021318, 'id_str': '1322692521819021318', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/media/ElsmBxVX0AEouB8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElsmBxVX0AEouB8.jpg', 'url': 'https://t.co/yhqHpB1tKO', 'display_url': 'pic.twitter.com/yhqHpB1tKO', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322693755137380357/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]"
347,1322692185293230081,Chicago in every stitch. https://t.co/44fMrJbIfM,33,2020-11-01 00:09:26,2,[],[],[],[],"[{'id': 1322691329017712676, 'id_str': '1322691329017712676', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/ElskwX2XECQ3bX8.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/ElskwX2XECQ3bX8.jpg', 'url': 'https://t.co/44fMrJbIfM', 'display_url': 'pic.twitter.com/44fMrJbIfM', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322692185293230081/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 500, 'h': 500, 'resize': 'fit'}, 'small': {'w': 500, 'h': 500, 'resize': 'fit'}, 'large': {'w': 500, 'h': 500, 'resize': 'fit'}}}]"
348,1322685455041781760,Bobby set to make his 200th regular season @MLS appearance 👏 https://t.co/HIB8WODnpd,57,2020-10-31 23:42:41,6,[],[],"[{'screen_name': 'MLS', 'name': 'Major League Soccer', 'id': 107146095, 'id_str': '107146095', 'indices': [43, 47]}]",[],"[{'id': 1322684982213648389, 'id_str': '1322684982213648389', 'indices': [61, 84], 'media_url': 'http://pbs.twimg.com/media/Else-8KWoAUBiV0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Else-8KWoAUBiV0.jpg', 'url': 'https://t.co/HIB8WODnpd', 'display_url': 'pic.twitter.com/HIB8WODnpd', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322685455041781760/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 801, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}}}]"
349,1322684804916236288,"Playoff mentality. The XI is in.

🔥 https://t.co/6ONgN0MVrV https://t.co/T3wIZCSP5c",85,2020-10-31 23:40:06,13,[],[],[],"[{'url': 'https://t.co/6ONgN0MVrV', 'expanded_url': 'http://cf97.co/AEKI30rhWcf', 'display_url': 'cf97.co/AEKI30rhWcf', 'indices': [36, 59]}]","[{'id': 1322684647579521026, 'id_str': '1322684647579521026', 'indices': [60, 83], 'media_url': 'http://pbs.twimg.com/media/ElserdjXEAIsso9.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElserdjXEAIsso9.jpg', 'url': 'https://t.co/T3wIZCSP5c', 'display_url': 'pic.twitter.com/T3wIZCSP5c', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322684804916236288/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]"
350,1322682274396229632,The fifth and final installment in our 2020 patch series. Check out the entire collection » https://t.co/TYNDCczzo8 https://t.co/RAfjRtHvrU,37,2020-10-31 23:30:03,4,[],[],[],"[{'url': 'https://t.co/TYNDCczzo8', 'expanded_url': 'http://chicagofirefc.com/patchseries', 'display_url': 'chicagofirefc.com/patchseries', 'indices': [92, 115]}]","[{'id': 1322682251390443520, 'id_str': '1322682251390443520', 'indices': [116, 139], 'media_url': 'http://pbs.twimg.com/media/Elscf_DXYAA1Qzt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Elscf_DXYAA1Qzt.jpg', 'url': 'https://t.co/RAfjRtHvrU', 'display_url': 'pic.twitter.com/RAfjRtHvrU', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322682274396229632/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 2048, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}}]"
351,1322679648975790081,Exercise your right. #VOTE https://t.co/bmFUQEVKiT,71,2020-10-31 23:19:37,6,"[{'text': 'VOTE', 'indices': [21, 26]}]",[],[],[],"[{'id': 1322677298764648450, 'id_str': '1322677298764648450', 'indices': [27, 50], 'media_url': 'http://pbs.twimg.com/media/ElsX_tFXEAIsuhD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElsX_tFXEAIsuhD.jpg', 'url': 'https://t.co/bmFUQEVKiT', 'display_url': 'pic.twitter.com/bmFUQEVKiT', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322679648975790081/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}}]"
352,1322674838532689923,"90 minutes to kickoff.

📍 Nashville, Tennessee https://t.co/vTS5QiibJq",69,2020-10-31 23:00:30,8,[],[],[],[],"[{'id': 1322672803661885440, 'id_str': '1322672803661885440', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/ElsT6DhWMAA64Gz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ElsT6DhWMAA64Gz.jpg', 'url': 'https://t.co/vTS5QiibJq', 'display_url': 'pic.twitter.com/vTS5QiibJq', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1322674838532689923/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}}}]"
